"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Genes","Sig","Labl"
"Lilr4b",148.345726088261,0.865362911022067,0.231747686523518,9.09597049202461e-06,0.000181118894062181,"Lilr4b","Yes",NA
"Gm48832",427.967799569282,0.980952189662167,0.275703940201749,9.13169817333394e-06,0.000181654621923452,"Gm48832","Yes",NA
"Pold2",549.329899548237,0.286042450725378,0.0684927424789252,9.20008742851675e-06,0.000182838417051864,"Pold2","Yes",NA
"Mturn",1834.13845945823,0.754254637730344,0.199335748365921,9.32943453664951e-06,0.000185230209908464,"Mturn","Yes",NA
"Iah1",2051.59614342853,0.220087138748364,0.0519531445806523,9.34464836132095e-06,0.000185353530935681,"Iah1","Yes",NA
"Pgrmc1",7170.44263557369,0.198592510486905,0.0465298199551081,9.40283098931822e-06,0.00018632809166417,"Pgrmc1","Yes",NA
"Prkaa2",845.794848948532,-0.352057125849132,0.0862651553785922,9.46690617074325e-06,0.000187417433797532,"Prkaa2","Yes",NA
"Rpl28",5374.37984086632,0.27901190242614,0.0668903378933952,9.48117816406521e-06,0.000187519670720402,"Rpl28","Yes",NA
"Mospd3",1005.48956237375,0.211559013604518,0.0495368430426912,9.52143687398742e-06,0.00018813518598707,"Mospd3","Yes",NA
"Clstn3",2455.25602149674,-0.842905296393274,0.229450792860124,9.54539038624035e-06,0.000188427653559255,"Clstn3","Yes",NA
"Olfr344",8.82939798392234,1.25277512787697,0.336502738153579,9.6735489107431e-06,0.000190774615443764,"Olfr344","Yes",NA
"Deptor",7286.96375996432,-0.564882660995965,0.147060117563835,9.76784207412665e-06,0.000192195539580818,"Deptor","Yes",NA
"Prodh",1932.72154885201,0.674014906807114,0.176700898427462,9.77360386328214e-06,0.000192195539580818,"Prodh","Yes",NA
"Ube2q2",2053.72614075514,0.301708575493629,0.0729234874767968,9.76105627630554e-06,0.000192195539580818,"Ube2q2","Yes",NA
"Uba1",10774.5689618011,-0.230752290550293,0.0536700714004294,9.79971343929841e-06,0.000192525095421484,"Uba1","Yes",NA
"Mapk1ip1",500.33806155711,0.473694254120773,0.119223079878138,9.85380762132413e-06,0.000193403284190126,"Mapk1ip1","Yes",NA
