,baseMean,log2FoldChange,lfcSE,pvalue,padj,Genes,Sig,Labl
Rpl35,3049.114318,0.140984998,0.067359174,0.000941447,0.248144962,Rpl35,No,NA
Adamts7,123.9892128,-0.348587763,0.1715629,0.001028717,0.249186728,Adamts7,No,NA
Deptor,9082.053329,0.273681559,0.135228913,0.001013717,0.249186728,Deptor,No,NA
Rpl21,6969.72648,0.155915171,0.075176837,0.000991272,0.249186728,Rpl21,No,NA
Rpl26,5773.411329,0.110151562,0.05368135,0.000987312,0.249186728,Rpl26,No,NA
Rps18,5745.290039,0.109120466,0.062164992,0.001024452,0.249186728,Rps18,No,NA
Unc79,29.90890303,-9.25E-06,0.001442699,0.001034031,0.249186728,Unc79,No,NA
Chrnb1,39.22006389,-1.36E-05,0.001442703,0.001074151,0.252875893,Chrnb1,No,NA
Ephb6,577.1458797,-0.256845141,0.128681356,0.001079321,0.252875893,Ephb6,No,NA
Eln,240.9223434,-1.76E-05,0.001442709,0.001127485,0.2570208,Eln,No,NA
Gm29562,292.9639694,-0.387817658,0.193778869,0.001116906,0.2570208,Gm29562,No,NA
Bmp5,4.947835533,-5.84E-06,0.001442697,0.001280928,0.264687197,Bmp5,No,NA
Bmp6,153.8656275,-2.29E-05,0.001442717,0.001220138,0.264687197,Bmp6,No,NA
Dglucy,1017.829382,0.265249523,0.138744422,0.001225205,0.264687197,Dglucy,No,NA
Gm44033,23.63085239,-1.08E-05,0.001442699,0.001248002,0.264687197,Gm44033,No,NA
Heyl,50.99699848,-0.500030799,0.26462938,0.001286641,0.264687197,Heyl,No,NA
Notch4,327.0249373,-0.339089812,0.178505696,0.001225363,0.264687197,Notch4,No,NA
Ptafr,69.96782825,-0.55090614,0.287261444,0.00127028,0.264687197,Ptafr,No,NA
Rpl13,7252.086659,0.128107355,0.065707416,0.001200614,0.264687197,Rpl13,No,NA
Fscn1,512.2535695,-0.494026133,0.261234186,0.001305233,0.265276843,Fscn1,No,NA
Gm47547,27.60627834,-1.22E-05,0.001442701,0.001338183,0.265574253,Gm47547,No,NA
Rps23,1915.757948,0.153798612,0.079975699,0.001332167,0.265574253,Rps23,No,NA
Lrrc8c,133.8082405,-0.426584739,0.229411781,0.001388833,0.272421267,Lrrc8c,No,NA
Rps12,5291.078571,0.14775545,0.078334267,0.001413785,0.274127952,Rps12,No,NA
Cdh13,296.941416,-0.375474498,0.209372701,0.00154548,0.28989049,Cdh13,No,NA
Ica1,59.60177212,-0.433776613,0.240520981,0.001546633,0.28989049,Ica1,No,NA
Rps28,964.049144,0.196968115,0.111518377,0.001538897,0.28989049,Rps28,No,NA
Tgtp2,157.5864506,-0.386891676,0.21614847,0.001578798,0.292667434,Tgtp2,No,NA
Camta1,148.8413069,-0.244888567,0.139594998,0.001701277,0.307292999,Camta1,No,NA
Ephb1,23.3970641,-0.646401851,0.37121378,0.001739431,0.307292999,Ephb1,No,NA
Fzd5,738.4834687,-0.20208288,0.116249613,0.001718181,0.307292999,Fzd5,No,NA
Gbp8,13.7526767,-5.73E-06,0.001442696,0.001748778,0.307292999,Gbp8,No,NA
Slc45a3,21.19966219,0.667693439,0.373553264,0.001680646,0.307292999,Slc45a3,No,NA
Rps15,6023.460059,0.092482429,0.053947159,0.001826108,0.317573386,Rps15,No,NA
Rps6,6922.705315,0.107780235,0.063495336,0.001845533,0.317676495,Rps6,No,NA
