"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Genes","Sig","Labl"
"Stard13",1045.06674364462,3.10278691385726e-06,0.00144264532727503,0.611140518638316,0.975794708309648,"Stard13","No",NA
"Stard3",397.284875710148,6.30444462982589e-07,0.00144254250473336,0.985701047832038,0.998289888308659,"Stard3","No",NA
"Stard3nl",399.150552984883,-2.47823348468721e-06,0.00144256428682068,0.798667661897574,0.989380836054069,"Stard3nl","No",NA
"Stard4",168.363502388089,-5.82807459348177e-06,0.00144268400516137,0.094857305657923,0.959528224506864,"Stard4","No",NA
"Stard5",469.050494034277,-1.35492076212012e-06,0.00144257602705464,0.887943441034791,0.992350944582066,"Stard5","No",NA
"Stard6",48.5561115698508,2.78470712243961e-06,0.00144267806760811,0.441976637792135,0.970641740612449,"Stard6","No",NA
"Stard7",3122.61911178834,-7.88796987051989e-05,0.00144352739832831,0.411658670475311,0.970026826739074,"Stard7","No",NA
"Stard8",119.926634946383,-6.62061436533674e-06,0.00144263248303795,0.351185192718606,0.96988964270494,"Stard8","No",NA
"Stard9",111.671574453933,-8.86254109780312e-06,0.00144267434428404,0.0565329683492862,0.959528224506864,"Stard9","No",NA
"Stat1",4147.83512269382,7.01344146798383e-06,0.0014426760739823,0.116463998071537,0.959528224506864,"Stat1","No",NA
"Stat2",537.431904213988,7.3586478707915e-06,0.00144267577494659,0.105454654571524,0.959528224506864,"Stat2","No",NA
"Stat3",5087.75432240462,1.86410081021594e-05,0.00144261416101287,0.064808823281843,0.959528224506864,"Stat3","No",NA
"Stat4",1.48181653187091,-4.37141985951928e-07,0.00144269456756749,0.415899738931042,NA,"Stat4",NA,NA
"Stat5a",2539.9921122195,1.5971520816671e-05,0.00144256577454044,0.153788915197793,0.96988964270494,"Stat5a","No",NA
"Stat5b",2079.1862369216,1.47640378910889e-05,0.0014425819050297,0.157373165905644,0.96988964270494,"Stat5b","No",NA
"Stat6",2331.47719557982,9.78752110532635e-07,0.00144261541747804,0.898587186354876,0.992350944582066,"Stat6","No",NA
"Stau1",3605.83168901509,1.84320636655375e-05,0.00144247004046788,0.198139575000292,0.96988964270494,"Stau1","No",NA
"Stau2",873.033450568337,1.08166995797158e-06,0.00144252801398881,0.392623705578125,0.96988964270494,"Stau2","No",NA
"Stbd1",137.276716070222,1.12904125871483e-06,0.0014426862896746,0.655234230857346,0.977825786132469,"Stbd1","No",NA
"Stc1",25.2445361040085,-3.74876708957018e-06,0.00144268920922681,0.125948159611722,0.959528224506864,"Stc1","No",NA
"Stc2",989.262687703937,-1.67398830658539e-06,0.00144262385893613,0.814674951841235,0.989380836054069,"Stc2","No",NA
"Steap1",5.15405593870314,-2.55955775042364e-06,0.00144269373068946,0.0566874714138449,NA,"Steap1",NA,NA
"Steap2",287.334556480075,-3.55863517167102e-07,0.00144268072300434,0.913439770461909,0.992350944582066,"Steap2","No",NA
